id,id_tei,name,county,state,latitude,longitude,notes,place_type,alternate,Date,,,,,
,blueh,Blue Hills,,Maine,44.2444,68.3425,,placeName,Blue Hill,,,,,,
,bluem,Blue Mountain,,Pennsylvania,40.3,77.4452,,geogName,"Blue Mountains, Kittatinny, Cattatinna",,,,,,
,bluerm,Blue Ridge Mountain,,,,,,geogName,,,,,,,
,borde,Bordentown,,New Jersey,40.149824,74.707642,,placeName,,,,,,,
,boston,Boston,,Massachusetts,,,,placeName,,,,,,,
,bostw,Bostwick's Tavern,,,,,,placeName,,,,,,,
,bowli,Bowling Green Tavern,,Virginia?,,,near Richmond,placeName,,,,,,,
,bradf,Bradford,,Pennsylvania,41.5733,78.3841,,placeName,,,,,,,
,brady,Brady's Tavern,,Pennsylvania,,,"near Milton, PA",placeName,,,,,,,
,brmill,Brandy Wine River Mills,,Delaware?,,,"near Wilmington, DE",placeName,,,,,,,
,brand,Brandywine Creek,,Pennsylvania,39.4355,75.3153,,geogName,,,,,,,
,bridg,Bridgeport,,Pennsylvania,40.0614,75.2035,,placeName,,,,,,,
,bridg1,Bridgetown,,,,,,placeName,,,,,,,
,bridw,Bridgewater,,New York,,,,placeName,Bridge Water,,,,,,
,brist,Bristol,,Pennsylvania,40.0612,74.5105,,placeName,Buckingham,,,,,,
,brist2,Bristol,,England,,,,placeName,,,,,,,
,brit,British Dominions,,,,,,placeName,,,,,,,
,broab,Broad Bay,,Maine,44.0246,69.4108,,geogName,,,,,,,
,broam,Broad Mountain,,,,,,geogName,,,,,,,
,broke,Brokenstraw Creek,,Pennsylvania,41.508,79.1534,"runs 37 miles from Chataqua County, NY to Allegheny River in Warren County, PA",geogName,Broken Straw,,,,,,
,brook,Brookeville,,Maryland,,,,placeName,,,,,,,
,brook1,Brooklyn,,New York,,,,placeName,,,,,,,
,broth,Brothertown,,New York,42.9312,75.3799,,placeName,"Brothertown Settlement, Waterville, Brotherton",,,,,,
,browt,Browns Town,,,,,,placeName,the Rock,,,,,,
,brown,Brownsville,,Pennsylvania,40.022106,79.88,,placeName,,,,,,,
,bruns,Brunswick,,New York,42.735912,73.561504,,placeName,,,,,,,
,buckt,Buck Tavern,,Pennsylvania,,,still standing about 1/4 mile from Haverford College and very near Haverford Meeting House,placeName,,,,,,,
,bucki,Buckingham,,Pennsylvania,40.3451,75.04,,placeName,,,,,,,
,buckm,Buckingham Meeting house,,Pennsylvania,40.346919,75.031874,,placeName,,,,,,,
,bucks,Bucks County,,Pennsylvania,40.34,75.11,,placeName,,,,,,,
,buffa,Buffalo,,New York,42.5417,78.5058,,placeName,"New Amsterdam, Buffalo Town",,,,,,
,buffc1,Buffalo Creek,,New York,42.870007,78.788602,,geogName,Buffaloe Creek,,,,,,
,buffc,Buffalo Creek Village,,New York,42.8625,78.6625,,placeName,"Main Village at Buffalo Creek, Buffalo Creek Reservation",,,,,,
,buffr,Buffalo River,,New York,42.86298,78.853297,"Mouth is Lake Erie, runs 8 miles ",geogName,,,,,,,
,burle,Burleigh,,North Carolina,,,Located in Surry County,placeName,,,,,,,
,burli,Burlington,,New Jersey,40.071,74.864,,placeName,,,,,,,
,burli2,Burlington,,,,,On the Mississippi,placeName,,,,,,,
,burli3,Burlington,,Ontario,,,,,,,,,,,
,bush,Bush,,Virginia?,,,,placeName,,,,,,,
,butav,Butavia,,,,,,placeName,,,,,,,
,buttf,Buttermilk Falls,,,,,,geogName,,,,,,,
,cacam,Cacapon Mountain,,,,,,geogName,Capon,,,,,,
,caerb,Caernarvon Bay,,,,,,geogName,,,,,,,
,caln,Caln,,Pennsylvania,39.5925,75.4648,Chester County,placeName,,,,,,,
,calns,Caln Station,,Pennsylvania,,,Pennsylvania Railroad,placeName,,,,,,,
,calvi,Calvin's Hill,,,,,,,,,,,,,
,camde,Camden,,Maine,44.1235,69.0353,,placeName,,,,,,,
,camco,Camden County,,North Carolina,36.34,76.16,,placeName,,,,,,,
,camva,Camden Valley,,New York,,,,,,,,,,,
,canad,Canada,,,,,,placeName,,,,,,,
,canaj,Canajoharie,,New York,,,,placeName,,,,,,,
,canan,Canandaigua,,New York,42.8875,77.281667,,placeName,"Canadaqua, Canadockway, Canandarque, Canadocwey, Canandarqua",,,,,,
,canan,Canandaigua,,New York,,,,placeName,,,,,,,
,canla,Canandaigua Lake,,New York,42.792929,77.29294,,geogName,,,,,,,
,canas,Canaseraga Creek,,New York,43.049033,75.841134,,geogName,,,,,,,
,canaw,Canawaugus,,New York,42.94095,77.76476,,placeName,"Canawagus, Canawaugus Reservation, Cannawagas",,,,,,
,canis,Canisteo River,,,,,,geogName,"Conosteer Creek, Canistiere River",,,,,,
,canto,Canton,,Indiana,,,,placeName,,,,,,,
,capte,Captena,,,,,,geogName,,,,,,,
,carma,Carmarthen,,Wales,,,,placeName,"Hermarthan, Carmarthan",,,,,,
,castl,Castleton,,England,,,,placeName,,,,,,,
,catar,Cataraugus River,,,,,,geogName,Cattaraugus,,,,,,
,catha,Catharine's Town,,New York,42.35,76.833333,,placeName,"Catherene’s Town, Watkins Glen, Catherines",,,,,,
,catswamp,Catherine's Swamp,,New York,,,,geogName,,,,,,,
,catom,Catoctin Mountain,,Maryland,,,,geogName,,,,,,,
,catsk1,Catskill,,New York,42.2173,73.8646,,placeName,Katskill,,,,,,
,catsk2,Catskill Creek,,New York,42.2226,73.86945,"Runs 46 miles, mouth is as Hudson River",geogName,Katskill Creek,,,,,,
,catmo,Catskill Mountains,,New York,,,,geogName,,,,,,,
,catta1,Cattaraugus,,New York,42.1948,78.5156,,placeName,"Cateraugarus, Cataraugus, Catauraugurus",,,,,,
,catta2,Cattaraugus Creek,,New York,,,,geogName,,,,,,,
,catta,Cattawissa,,Pennsylvania,40.9525,76.4603,,placeName,"Cattawissy, Catawissa, Catawessey",,,,,,
,cagna,Caughnawaga,,New York,42.95181,74.390551,,placeName,"Cagnawago, Fonda",,,,,,
,caven,Cavendish,,Vermont,,,,placeName,,,,,,,
,cayug1,Cayuga,,New York,42.91886,76.72637,,placeName,,,,,,,
,cayuc,Cayuga Creek,,New York,,,,geogName,,,,,,,
,cayug,Cayuga Lake,,New York,42.70776,76.72234,,geogName,,,,,,,
,ceres,Ceres,,New York,41.9995,78.2689,,placeName,"King's settlement, Cerestown, Francis King's Settlement",,,,,,
,chadd,Chadds Ford,,Pennsylvania,,,,placeName,,,,,,,
,chapp,Chappaqua,,New York,41.15954,73.76485,,placeName,Shappaqua,,,,,,
,chara,Charanton,,France,,,,placeName,,,,,,,
,charl,Charleston,,Virginia?,,,,placeName,,,,,,,
,charl2,Charleston,,New York,,,,placeName,Charlestown,,,,,,
,chaut,Chautauque Lake,,New York,42.18517,79.431,,geogName,,,,,,,
,chelt,Cheltenham,,Pennsylvania,40.06094,75.09406,,placeName,,,,,,,
,chemu,Chemung River,,New York and Pennsylvania,41.92381,76.517715,"Mouth is at Susquehanna River, Source is in Painted Post, NY",geogName,Shomonga Creek,,,,,,
,chena,Chenango,,New York,42.1058,75.532,,placeName,Shenang,,,,,,
,chval,Cherry Valley,,New York,42.7956,74.7532,,placeName,,,,,,,
,chesab,Chesapeake Bay,,,,,,geogName,,,,,,,
,chesh,Cheshire County,,New Hampshire,,,,placeName,Cheshiere,,,,,,
,chest,Chester ,,New York,41.3626,74.2713,,placeName,,,,,,,
,chest1,Chester ,,Pennsylvania,39.84956,73.35575,,placeName,,,,,,,
,chestc,Chester County,,Pennsylvania,,,,placeName,,,,,,,
,chesf,Chesterfield,,New Jersey,40.120242,74.653491,,placeName,,,,,,,
,chehi,Chestnut Hill,,,,,,placeName,,,,,,,
,cheri,Chestnut Ridge,,Pennsylvania,,,,geogName,,,,,,,
,cheri1,Chestnut Ridge Meeting House,,NY,,,now extinct,placeName,,,,,,,
,chick,Chickago,,Illinois,,,,placeName,,,,,,,
,chile,Chilecothe,,,,,,placeName,,,,,,,
,chill,Chillicothe,,Ohio,,,,placeName,Chilicothe,,,,,,
,chill,Chillisquaque Creek,,Pennsylvania,40.93417,76.859515,"Mouth is at West Branch Susquehanna River, Runs 20 miles",geogName,"Chilesquaque Creek, Chilisquagus",,,,,,
,chipp1,Chippewa,,,44.49447,76.8306,,placeName,,,,,,,
,chipp,Chippewa River,,Canada,46.927735,84.437442,Mouth is NE corner of Lake Superior,geogName,"Chippaway, Chippeway",,,,,,
,chiqu,Chiques Creek,,Pennsylvania,40.12248,76.45806,,geogName,"Big Chiques, Chiquesalunga, Chickisalango",,,,,,
,cinci,Cincinnata,,,,,,placeName,,,,,,,
,clark,Clark Creek,,Pennsylvania,40.3701,76.96107,Mouth is Susquehanna River on W edge of Dauphin County,geogName,Clarks Creek,,,,,,
,clave,Claverick Creek,,,,,,geogName,,,,,,,
,clearc,Clear Creek,,,,,,geogName,,,,,,,
,cleve,Cleveland,,Ohio,,,,placeName,,,,,,,
,clint,Clinton,,New York?,,,,placeName,,,,,,,
